Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow
464,5	-0,312138	0	150	153,022919	0	1,480999
464,516667	-0,312138	0	150	153,023529	0	1,480999
464,533333	-0,312562	0	150	153,023834	0	1,480999
464,55	-0,311856	0	150	153,022308	0	1,480999
464,566667	-0,311362	0	150	153,021088	0	1,480999
464,583333	-0,311927	0	150	153,019852	0	1,480999
464,6	-0,31228	0	150	153,019852	0	1,480999
464,616667	-0,312633	0	150	153,018631	0	1,480999
464,633333	-0,312421	0	150	153,018326	0	1,480999
464,65	-0,31235	0	150	153,018936	0	1,480999
464,666667	-0,311856	0	150	153,019547	0	1,480999
464,683333	-0,312562	0	150	153,0168	0	1,480999
464,7	-0,312774	0	150	153,017105	0	1,480999
464,716667	-0,313127	0	150	153,018021	0	1,480999
464,733333	-0,312774	0	150	153,01741	0	1,480999
464,75	-0,312209	0	150	153,018326	0	1,480999
464,766667	-0,312138	0	150	153,019241	0	1,480999
464,783333	-0,312068	0	150	153,018021	0	1,480999
464,8	-0,312421	0	150	153,01741	0	1,480999
464,816667	-0,311644	0	150	153,0168	0	1,480999
464,833333	-0,310867	0	150	153,018021	0	1,480999
464,85	-0,310938	0	150	153,018021	0	1,480999
464,866667	-0,310444	0	150	153,019241	0	1,480999
464,883333	-0,310867	0	150	153,020477	0	1,480999
464,9	-0,310938	0	150	153,021698	0	1,480999
464,916667	-0,311785	0	150	153,018631	0	1,480999
464,933333	-0,31122	0	150	153,018326	0	1,480999
464,95	-0,311715	0	150	153,020172	0	1,480999
464,966667	-0,312138	0	150	153,019852	0	1,480999
464,983333	-0,311644	0	150	153,018936	0	1,480999
465	-0,311856	0	150	153,019547	0	1,480999
465,016667	-0,312138	0	150	153,020172	0	1,480999
465,033333	-0,311715	0	150	153,018021	0	1,480999
465,05	-0,311927	0	150	153,017105	0	1,480999
465,066667	-0,311785	0	150	153,017105	0	1,480999
465,083333	-0,312209	0	150	153,01741	0	1,480999
465,1	-0,312562	0	150	153,018936	0	1,480999
465,116667	-0,312068	0	150	153,019241	0	1,480999
465,133333	-0,311927	0	150	153,019852	0	1,480999
465,15	-0,31228	0	150	153,020172	0	1,480999
465,166667	-0,312562	0	150	153,019547	0	1,480999
465,183333	-0,31235	0	150	153,0168	0	1,480999
